1725473101.4928958 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473164.1592867 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473164.159427 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473164.163668 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473164.1638255 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473164.178519 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473164.1786504 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473164.1829584 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473164.1830873 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473164.1969426 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473164.197299 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473164.2011611 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473164.201284 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473164.2153041 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473164.215453 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473164.2196882 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473164.2198439 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473164.2332523 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473164.2334166 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473164.2369833 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473164.2371585 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473164.2505546 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473164.2506871 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473164.2546997 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473164.2548537 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473164.268336 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473164.268506 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473164.2728314 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473164.2730162 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473164.285951 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473164.2860858 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473164.2908213 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473164.290983 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473164.3027894 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473164.3029094 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473164.3069394 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473164.3070586 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473164.317958 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473164.3181074 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473164.3216944 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473164.3217943 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473164.3318882 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473164.3320465 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473164.3349519 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473164.3350387 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473164.3452437 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473164.3453805 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473164.3490374 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473164.3492208 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473164.3624117 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473164.3625565 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473164.3662107 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473164.3663316 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473164.3797004 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473164.3798416 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473164.3836858 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473164.383845 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473164.3971903 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473164.3973355 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473164.4010878 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473164.4013622 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473164.4140148 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473164.4141886 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473164.4180143 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473164.4181502 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473164.4310303 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473164.4312124 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473164.4347591 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473164.4348743 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473164.4480922 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473164.4482565 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473164.452298 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473164.4524164 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473164.4662075 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473164.4663575 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473164.4703884 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473164.4705255 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473164.485316 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473164.485465 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473164.4899042 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473164.4900959 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473164.5027132 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473164.5028696 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473164.5070426 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473164.5072892 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473164.5210302 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473164.5212383 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473164.526015 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473164.5262973 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473164.5389073 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473164.5390794 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473164.544181 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473164.5443537 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473164.560912 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473164.5611079 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473164.5656345 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473164.5657952 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473164.5783713 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473164.5784948 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473164.582216 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473164.58234 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473164.5946004 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473164.5947711 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473164.5985754 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473164.5987103 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473164.6112165 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473164.611357 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473164.61501 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473164.6151464 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473164.6276026 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473164.6277468 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473164.6319404 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473164.6320689 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473164.6436868 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473164.6438122 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473164.6472158 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473164.6473336 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473164.6594849 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473164.659615 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473164.6632326 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473164.6633523 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473164.6754105 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473164.6755877 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473164.679977 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473164.6800985 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473164.6925218 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473164.6926541 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473164.6962729 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473164.6964252 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473164.7080712 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473164.7082465 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473164.7110221 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473164.7111366 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473164.7228167 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473164.7229862 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473164.7267754 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473164.7269232 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473164.7385106 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473164.7386684 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473164.7430046 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473164.7431536 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473164.7554321 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473164.7555811 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473164.7596812 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473164.7598019 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473164.772706 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473164.7728388 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473164.7767 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473164.7768624 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473164.7887797 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473164.7889223 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473164.7928276 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473164.7929814 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473164.804938 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473164.8051536 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473164.8090935 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473164.8092546 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473164.8211823 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473164.8213272 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473164.8260283 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473164.826152 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473164.8346426 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473164.83474 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473164.8384268 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473164.8385105 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473164.8486931 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473164.8488674 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473164.8543556 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473164.854512 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473164.8644595 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473164.8646166 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473164.8700333 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473164.8701775 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473164.8805363 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473164.8806696 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473164.887093 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473164.8872724 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473164.8973603 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473164.8974917 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473164.903476 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473164.9036117 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473164.914761 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473164.9149 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473164.9215224 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473164.9217088 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473164.9315207 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473164.9316826 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473164.9373784 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473164.9375474 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473164.9481804 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473164.9483478 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473164.9539897 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473164.9541397 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473164.964427 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473164.964542 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473164.968506 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473164.9685993 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473164.9788716 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473164.9790137 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473164.9834867 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473164.9836116 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473164.99332 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473164.9934695 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473164.9972053 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473164.9973526 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473165.0084097 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473165.00854 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473165.012464 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473165.0125983 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473165.0250123 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473165.0252154 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473165.0292594 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473165.0293822 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473165.0427926 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473165.0429282 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473165.046698 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473165.046818 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473165.0598145 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473165.0599508 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473165.0637934 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473165.063924 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473165.0769193 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473165.0770485 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473165.0811038 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473165.081237 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473165.0941014 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473165.0942755 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473165.0984986 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473165.0986376 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473165.1121979 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473165.1123705 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473165.1161973 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473165.1163423 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473165.1294034 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473165.129583 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473165.1342278 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473165.1344075 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473165.1509507 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473165.1511397 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473165.1558766 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473165.1560624 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473165.1684966 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473165.168693 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473165.1765466 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473165.1767194 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473165.1857083 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473165.1858425 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473165.1930811 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473165.1932094 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473165.198352 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473165.198466 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473165.2057595 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473165.2058818 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473165.2126968 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473165.2128062 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473165.2161806 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473165.2162688 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473165.2233145 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473165.223479 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473165.2261574 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473165.2262416 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473165.2323833 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473165.2324474 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473165.2343886 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473165.2344432 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473165.2413404 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473165.2414234 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473165.2433717 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473165.2434347 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473165.2499135 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473165.2499857 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473165.2519982 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473165.2520556 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473165.259875 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473165.2599869 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473165.2620053 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473165.2620635 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473165.2681682 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473165.2682343 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473165.270493 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473165.2705743 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473165.2785962 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473165.278664 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473165.2806444 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473165.2807176 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473165.2870336 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473165.2871308 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473165.2896383 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473165.289745 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473165.2970023 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473165.2970855 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473165.2995412 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473165.2996202 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473165.3066895 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473165.306841 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473165.3093877 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473165.3094625 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473165.316231 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473165.3162947 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473165.3181767 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473165.3182364 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473165.325702 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473165.3258154 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473165.3281522 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473165.3282194 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473165.3343718 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473165.334434 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473165.3364842 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473165.3365822 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473165.3451674 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473165.3452578 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473165.3473382 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473165.347397 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473165.3558617 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473165.3559775 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473165.3586068 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473165.3586726 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473165.3652933 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473165.365396 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473165.3681297 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473165.3682253 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473165.376454 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473165.3765428 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473165.379831 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473165.3799202 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473165.388427 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473165.3885286 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473165.3916514 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473165.3917398 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473165.4002304 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473165.4003654 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473165.4031787 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473165.4032574 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473165.4122286 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473165.412353 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473165.4146674 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473165.4147666 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473165.4239433 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473165.424107 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473165.4272184 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473165.4273188 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473165.4362693 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473165.4363935 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473165.4397345 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473165.4399319 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473165.4502077 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473165.450328 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473165.4532235 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473165.4533215 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473165.4647985 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473165.4649432 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473165.4686935 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473165.4688492 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473165.4814954 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473165.4816191 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473165.4850485 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473165.485213 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473165.4984205 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473165.498559 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473165.5020907 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
